Liferay Portal Workflow Lang
Liferay Calendar API,Liferay Calendar API,OSGi System Bundle
Liferay Login Authentication Facebook Connect Web,OSGi System Bundle,Liferay Portal Security SSO Facebook Connect API
Liferay Document Library Repository CMIS API,OSGi System Bundle,Liferay Portal Configuration Metatype API
Liferay Adaptive Media Blogs Web Fragment,OSGi System Bundle,Liferay Adaptive Media Content Transformer API
Liferay Product Navigation Product Menu API,OSGi System Bundle,Liferay Application List API
Liferay Portal Model Relationship Document Library Implementation,OSGi System Bundle,Liferay Portal Relationship API
Liferay Frontend Image Editor Capability Crop,Liferay Frontend Image Editor API,OSGi System Bundle
Liferay Dynamic Data Mapping Type Checkbox,Liferay Dynamic Data Mapping API,OSGi System Bundle
Liferay Users Admin UAD,OSGi System Bundle,Liferay User Associated Data API
Liferay Portal UAD,OSGi System Bundle,Liferay User Associated Data API
Liferay Flash Web,OSGi System Bundle,Liferay Portal Upgrade API
Liferay Trash API,Liferay Trash API,OSGi System Bundle
Liferay Product Navigation Control Menu API,OSGi System Bundle,Liferay Product Navigation Control Menu API
Liferay Dynamic Data Mapping Form Evaluator Implementation,Liferay Dynamic Data Mapping API,OSGi System Bundle
Liferay Asset Entry Rel API,OSGi System Bundle,Liferay Asset Entry Rel API
Liferay Commerce Notification API,OSGi System Bundle,Liferay Commerce Notification API
Liferay Portal Workflow UAD,OSGi System Bundle,Liferay User Associated Data API
Liferay Password Generator Web,OSGi System Bundle,Liferay Portal Upgrade API
Liferay Portal Background Task API,Liferay Portal Background Task API,OSGi System Bundle
Liferay Hello Velocity Web,OSGi System Bundle,Liferay Portal Upgrade API
Liferay Frontend Theme Contributor Extender,OSGi System Bundle,Liferay OSGi Utilities
Liferay Portal Cache Ehcache Provider,OSGi System Bundle,Liferay Portal Cache Ehcache Provider
Liferay Portal OSGi Web WAB Reference Support,OSGi System Bundle,Liferay Portal OSGi Web WAB Generator API
Apache Felix Dependency Manager,OSGi System Bundle,org.osgi:org.osgi.service.metatype
Liferay Loan Calculator Web,OSGi System Bundle,Liferay Portal Upgrade API
Liferay Portal Security SSO OpenID Implementation,Liferay Portal Security SSO OpenID API,OSGi System Bundle
Liferay Commerce Shipping Origin Locator Warehouse,OSGi System Bundle,Liferay Commerce API
Apache Felix Bundle Repository,OSGi System Bundle,Apache Felix Bundle Repository
Liferay Portal Cache Implementation,OSGi System Bundle,Liferay OSGi Utilities
Liferay Product Navigation Simulation Device,OSGi System Bundle,Liferay Application List API
Liferay Portal Store File System,OSGi System Bundle,Liferay Portal Configuration Metatype API
Liferay Hello Soy Web,OSGi System Bundle,Liferay Portal Portlet Bridge Soy API
Liferay Portal Instance Lifecycle Implementation,OSGi System Bundle,Liferay Portal Instance Lifecycle API
Liferay Portal Rules Engine API,OSGi System Bundle,Liferay OSGi Utilities
Liferay Social Bookmark LinkedIn,OSGi System Bundle,Liferay Social Bookmarks API
Liferay Screens API,OSGi System Bundle,Liferay Dynamic Data Lists API
Http Services Servlet,OSGi System Bundle,org.osgi.service.http
Liferay Asset Tag Stats API,OSGi System Bundle,Liferay Asset Tag Stats API
Liferay Microblogs API,OSGi System Bundle,Liferay Microblogs API
Liferay Document Library File Rank API,Liferay Document Library File Rank API,OSGi System Bundle
Liferay Portal OSGi Web Servlet Context Helper API,OSGi System Bundle,Liferay Portal OSGi Web Servlet Context Helper API
Liferay Quick Note Web,OSGi System Bundle,Liferay Portal Upgrade API
Liferay Frontend Image Editor Capability Resize,Liferay Frontend Image Editor API,OSGi System Bundle
Liferay Portal Target Platform Indexer Implementation,OSGi System Bundle,Liferay Portal Target Platform Indexer API
Liferay Fragment Entry Processor Editable,OSGi System Bundle,Liferay Fragment API
Liferay Dynamic Data Mapping Type Field Set,Liferay Dynamic Data Mapping API,OSGi System Bundle
Liferay Product Navigation Control Menu Implementation,OSGi System Bundle,Liferay Product Navigation Control Menu API
Liferay Dynamic Data Mapping Data Provider Instance,Liferay Dynamic Data Mapping API,OSGi System Bundle
Liferay OSGi Utilities,OSGi System Bundle,Apache Felix Declarative Services
Liferay Dynamic Data Mapping Form Values Query,Liferay Dynamic Data Mapping API,OSGi System Bundle
Liferay Password Policies Admin UAD,OSGi System Bundle,Liferay User Associated Data API
Liferay Dynamic Data Mapping Type Document Library,Liferay Dynamic Data Mapping API,OSGi System Bundle
Liferay Portal Store DB,OSGi System Bundle,Liferay Document Library Content API
Liferay Commerce Tax API,OSGi System Bundle,Liferay Commerce Tax API
Liferay Apio Architect API,OSGi System Bundle,Liferay Apio Architect API
Liferay Subscription API,Liferay Subscription API,OSGi System Bundle
Liferay Dynamic Data Mapping Type Numeric,Liferay Dynamic Data Mapping API,OSGi System Bundle
Liferay Portal Security Audit API,OSGi System Bundle,Liferay Portal Configuration Metatype API
Liferay Frontend Image Editor Capability Rotate,Liferay Frontend Image Editor API,OSGi System Bundle
Liferay Knowledge Base Markdown Converter Implementation,OSGi System Bundle,Liferay Knowledge Base Markdown Converter API
Liferay Ratings Page Ratings Web,OSGi System Bundle,Liferay Portal Upgrade API
Liferay Portal Security Audit Event Generators User Management,OSGi System Bundle,Liferay Portal Security Audit Event Generators API
Liferay Asset Entry Query Processor Custom User Attributes,OSGi System Bundle,Liferay Asset API
Liferay Adaptive Media Document Library Web,OSGi System Bundle,Liferay Adaptive Media Image API
Liferay Chat API,OSGi System Bundle,Liferay Chat API
Liferay Portal Configuration Module Configuration,OSGi System Bundle,Liferay Portal Configuration Metatype API
Liferay Frontend Image Editor Integration Document Library,OSGi System Bundle,Liferay Document Library API
Liferay Dynamic Data Mapping Validator,Liferay Dynamic Data Mapping API,OSGi System Bundle
Console plug-in,Apache Felix Gogo Runtime,OSGi System Bundle
Liferay Dynamic Data Mapping Form Values Factory,Liferay Dynamic Data Mapping API,OSGi System Bundle
Liferay Microsoft Translator,OSGi System Bundle,Liferay Portal Configuration Metatype API
Liferay Alloy MVC,Expression Language 3.0,OSGi System Bundle
Liferay Asset Category Property API,OSGi System Bundle,Liferay Asset Category Property API
Liferay Dynamic Data Mapping Type Select,Liferay Dynamic Data Mapping API,OSGi System Bundle
Liferay Push Notifications API,OSGi System Bundle,Liferay Push Notifications API
Liferay Dynamic Data Mapping Form Field Type,Liferay Dynamic Data Mapping API,OSGi System Bundle
Liferay Push Notifications Sender Microsoft,OSGi System Bundle,Liferay Push Notifications API
Liferay Adaptive Media Content Transformer Implementation,OSGi System Bundle,Liferay Adaptive Media Content Transformer API
Liferay Login Authentication OpenID Connect Web,OSGi System Bundle,Liferay Portal Security SSO OpenID Connect API
Liferay Portal Workflow Kaleo Definition API,OSGi System Bundle,Liferay Portal Workflow Kaleo Definition API
Liferay Dynamic Data Mapping Type Options,Liferay Dynamic Data Mapping API,OSGi System Bundle
Liferay Portal Lock API,OSGi System Bundle,Liferay Portal Lock API
Liferay Aggregate Rating Apio API,Liferay Portal Apio API,Liferay Apio Architect API
Liferay Frontend Image Editor Capability Contrast,Liferay Frontend Image Editor API,OSGi System Bundle
Liferay Unit Converter Web,OSGi System Bundle,Liferay Portal Upgrade API
Liferay Asset Categories Selector Web,OSGi System Bundle,Liferay Portal Upgrade API
Liferay Mentions API,OSGi System Bundle,Liferay Portal Configuration Metatype API
Liferay Apio Architect Exception Mapper Implementation,Apache Aries JAX-RS Specification API,Liferay Apio Architect API
Liferay Portal URL Builder Implementation,Liferay Portal URL Builder API,OSGi System Bundle
Liferay Social Activity API,OSGi System Bundle,Liferay Portal Configuration Metatype API
Liferay Social Activities Taglib,OSGi System Bundle,Liferay Util Taglib
Liferay Fragment Implementation,OSGi System Bundle,Liferay Fragment API
Liferay Social Bookmark Facebook,OSGi System Bundle,Liferay Social Bookmarks API
Liferay Marketplace API,OSGi System Bundle,Liferay Marketplace API
Liferay Portlet Configuration Toolbar Contributor Locator Implementation,OSGi System Bundle,Liferay OSGi Utilities
Liferay HTML Preview Processor Image,OSGi System Bundle,Liferay HTML Preview API
Liferay Dynamic Data Mapping Type Validation,Liferay Dynamic Data Mapping API,OSGi System Bundle
Liferay Layout UAD,OSGi System Bundle,Liferay User Associated Data API
Liferay Expando Taglib,OSGi System Bundle,Liferay Util Taglib
Liferay Portal License Deployer,OSGi System Bundle,Apache Felix File Install
Liferay Adaptive Media Item Selector Upload Web,Liferay Item Selector API,Liferay Adaptive Media Image Item Selector API
Liferay Dynamic Data Mapping Type Radio,Liferay Dynamic Data Mapping API,OSGi System Bundle
Liferay Product Navigation Control Panel,OSGi System Bundle,Liferay Application List API
Liferay Network Utilities Web,OSGi System Bundle,Liferay Portal Upgrade API
Liferay Portal Security SSO OpenID API,OSGi System Bundle,Liferay Portal Configuration Metatype API
Liferay Frontend Compatibility IE,Liferay Portal URL Builder API,OSGi System Bundle
JavaServer Pages(TM) API,Expression Language 3.0,OSGi System Bundle
Liferay Asset Display Page API,OSGi System Bundle,Liferay Asset Display Page API
Liferay Portal Security SSO CAS API,OSGi System Bundle,Liferay Portal Configuration Metatype API
Liferay Analytics Data Binding Implementation,OSGi System Bundle,Liferay Analytics API
Liferay Adaptive Media Image Web,OSGi System Bundle,Liferay Adaptive Media Image API
Liferay Commerce User Segment API,OSGi System Bundle,Liferay Commerce User Segment API
Liferay Portal Security SSO NTLM API,OSGi System Bundle,Liferay Portal Configuration Metatype API
Liferay Asset Publisher Layout Prototype,OSGi System Bundle,Liferay Portal Upgrade API
Liferay Portal Spring Extender Implementation,Liferay Portal Spring Extender API,OSGi System Bundle
Liferay Reading Time API,OSGi System Bundle,Liferay Reading Time API
Liferay Roles Selector Web,OSGi System Bundle,Liferay Frontend Taglib Clay
Meta Type,OSGi System Bundle,org.osgi:org.osgi.service.metatype
Liferay Portal Apio API,OSGi System Bundle,Liferay Apio Architect API
Liferay Flags API,OSGi System Bundle,Liferay Portal Configuration Metatype API
Liferay Portal Scripting Groovy,OSGi System Bundle,Liferay Portal Scripting API
Liferay Portal Profile Implementation,OSGi System Bundle,Liferay Portal Profile API
Liferay Asset Display Web,OSGi System Bundle,Liferay Portal Upgrade API
Liferay Document Library Sync API,OSGi System Bundle,Liferay Document Library Sync API
Liferay Layout Page Template API,OSGi System Bundle,Liferay Layout Page Template API
Liferay Dictionary Web,OSGi System Bundle,Liferay Portal Upgrade API
Liferay Frontend Image Editor Capability Saturation,Liferay Frontend Image Editor API,OSGi System Bundle
Liferay Layout Type Controller Node,OSGi System Bundle,Liferay Util Taglib
Liferay Portal Scripting BeanShell,OSGi System Bundle,Liferay Portal Scripting API
Apache Commons FileUpload,OSGi System Bundle,Commons IO
Liferay Portal Search Engine Adapter API,OSGi System Bundle,Liferay Portal Search Engine Adapter API
Liferay Adaptive Media Blogs Item Selector Web,Liferay Item Selector API,Liferay Adaptive Media Image Item Selector API
Liferay Portal Security AntiSamy,OSGi System Bundle,Liferay Portal Configuration Metatype API
Liferay Asset Link Service,OSGi System Bundle,Liferay Export Import API
Liferay User Groups Admin UAD,OSGi System Bundle,Liferay User Associated Data API
Liferay Fragment Entry Processor Portlet,OSGi System Bundle,Liferay Fragment API
Liferay HTML Preview API,OSGi System Bundle,Liferay HTML Preview API
Liferay Hello World Web,OSGi System Bundle,Liferay Portal Upgrade API
Liferay Document Library Repository Authorization API,Liferay Document Library Repository Authorization API,OSGi System Bundle
Liferay Dynamic Data Mapping IO,Liferay Dynamic Data Mapping API,OSGi System Bundle
Liferay Announcements UAD,OSGi System Bundle,Liferay User Associated Data API
Liferay Portal Security SSO Google API,OSGi System Bundle,Liferay Portal Configuration Metatype API
Liferay Contacts API,Liferay Contacts API,OSGi System Bundle
Liferay Dynamic Data Mapping Type Editor,Liferay Dynamic Data Mapping API,OSGi System Bundle
Liferay Adaptive Media Upload,OSGi System Bundle,Liferay Upload API
Liferay Wiki Engine Creole,OSGi System Bundle,Liferay Wiki API
Liferay Portal Output Stream Container,OSGi System Bundle,Liferay Portal Output Stream Container API
Apache Felix Gogo Command,Apache Felix Gogo Runtime,OSGi System Bundle
Liferay Portlet Display Template API,Liferay Dynamic Data Mapping API,OSGi System Bundle
Liferay Apio Architect URI Mapper Implementation,Apache Aries JAX-RS Specification API,Liferay Apio Architect API
Liferay Google Maps Web,OSGi System Bundle,Liferay Portal Upgrade API
Liferay Dynamic Data Mapping Type Key Value,Liferay Dynamic Data Mapping API,OSGi System Bundle
Liferay Adaptive Media Content Transformer API,OSGi System Bundle,Liferay Adaptive Media Content Transformer API
Liferay Dynamic Data Mapping Type Grid,Liferay Dynamic Data Mapping API,OSGi System Bundle
Liferay Portal Store S3,OSGi System Bundle,Liferay Portal Configuration Metatype API
Liferay Portlet Configuration Sharing Web,OSGi System Bundle,Liferay Portal Upgrade API
Liferay Portal Mobile Device Recognition Implementation,OSGi System Bundle,Liferay Mobile Device Rules API
Liferay Portal Profile API,OSGi System Bundle,Apache Felix Declarative Services
Liferay Staging Implementation,OSGi System Bundle,Liferay Staging API
Liferay Commerce Application List,OSGi System Bundle,Liferay Application List API
Liferay Portal Reports Engine API,Liferay Portal Reports Engine API,OSGi System Bundle
Liferay Export Import Changeset Service,OSGi System Bundle,Liferay Export Import Changeset API
Liferay Wiki Engine HTML,OSGi System Bundle,Liferay Wiki API
Liferay Portal Cache API,OSGi System Bundle,Liferay Portal Cache API
Liferay Invitation Invite Members API,OSGi System Bundle,Liferay Invitation Invite Members API
Liferay RSS Implementation,OSGi System Bundle,Liferay RSS API
Liferay Portal Inactive Request Handler,OSGi System Bundle,Liferay Portal Configuration Metatype API
Apache Felix Configuration Admin Service,OSGi System Bundle,Apache Felix Configuration Admin Service
Liferay Portlet Dependency Factory Implementation,Liferay Portal URL Builder API,OSGi System Bundle
Liferay Portal Validation API,OSGi System Bundle,Liferay OSGi Utilities
Liferay Wiki Engine Text,OSGi System Bundle,Liferay Wiki API
org.osgi.service.http,OSGi System Bundle,org.osgi.service.http
Liferay User Associated Data API,OSGi System Bundle,Liferay User Associated Data API
Liferay Frontend Image Editor Capability Brightness,Liferay Frontend Image Editor API,OSGi System Bundle
Liferay Notifications UAD,OSGi System Bundle,Liferay User Associated Data API
Liferay Portal Store CMIS,OSGi System Bundle,Liferay Portal Configuration Metatype API
Liferay Polls API,OSGi System Bundle,Liferay Polls API
Liferay Commerce Elasticsearch6,OSGi System Bundle,Liferay Portal Search Elasticsearch 6 API
Liferay Comment Page Comments Web,OSGi System Bundle,Liferay Portal Upgrade API
Liferay Export Import Changeset API,OSGi System Bundle,Liferay Export Import Changeset API
Liferay Fragment Entry Processor Nullable,OSGi System Bundle,Liferay Fragment API
Liferay Item Selector Criteria API,Liferay Item Selector API,OSGi System Bundle
Liferay Portal Security SSO OpenSSO API,OSGi System Bundle,Liferay Portal Configuration Metatype API
Liferay Friendly URL API,OSGi System Bundle,Liferay Friendly URL API
Liferay Frontend Image Editor Capability Effects,Liferay Frontend Image Editor API,OSGi System Bundle
Liferay Adaptive Media Document Library Item Selector Web,Liferay Item Selector API,Liferay Adaptive Media Image Item Selector API
Liferay Dynamic Data Mapping Type Checkbox Multiple,Liferay Dynamic Data Mapping API,OSGi System Bundle
Liferay Dynamic Data Mapping Type Password,Liferay Dynamic Data Mapping API,OSGi System Bundle
Liferay Staging Configuration Web,Liferay Trash API,OSGi System Bundle
Liferay Portal Relationship Implementation,OSGi System Bundle,Liferay Portal Relationship API
Liferay Social Bookmark Twitter,OSGi System Bundle,Liferay Social Bookmarks API
Liferay Login Authentication OpenID Web,Liferay Portal Security SSO OpenID API,OSGi System Bundle
Liferay Roles Item Selector API,Liferay Item Selector API,OSGi System Bundle
Apache Felix Gogo Shell,Apache Felix Gogo Runtime,OSGi System Bundle
Liferay Organizations API,OSGi System Bundle,Liferay Portal Configuration Metatype API
Liferay Journal Ratings Definition,OSGi System Bundle,Liferay Journal API
Liferay Portal Compound Session ID,OSGi System Bundle,Apache Felix Declarative Services
Liferay Dynamic Data Mapping Type Text,Liferay Dynamic Data Mapping API,OSGi System Bundle
Liferay Reading Time Web,OSGi System Bundle,Liferay Reading Time API
