Name: Liferay Fragment Entry Processor Nullable (2) {OSGi System Bundle, Liferay Fragment API, }
Name: Apache Felix Bundle Repository (2) {OSGi System Bundle, Apache Felix Bundle Repository, }
Name: Liferay Notifications UAD (2) {OSGi System Bundle, Liferay User Associated Data API, }
Name: Liferay Comment Page Comments Web (2) {OSGi System Bundle, Liferay Portal Upgrade API, }
Name: Liferay Login Authentication Facebook Connect Web (2) {OSGi System Bundle, Liferay Portal Security SSO Facebook Connect API, }
Name: Liferay Layout UAD (2) {OSGi System Bundle, Liferay User Associated Data API, }
Name: Liferay Dynamic Data Mapping Type Field Set (2) {OSGi System Bundle, Liferay Dynamic Data Mapping API, }
Name: Liferay Dictionary Web (2) {OSGi System Bundle, Liferay Portal Upgrade API, }
Name: Liferay OSGi Utilities (2) {OSGi System Bundle, Apache Felix Declarative Services, }
Name: Liferay Dynamic Data Mapping Type Numeric (2) {OSGi System Bundle, Liferay Dynamic Data Mapping API, }
Name: Liferay Asset Category Property API (2) {OSGi System Bundle, Liferay Asset Category Property API, }
Name: Liferay Apio Architect Exception Mapper Implementation (2) {Apache Aries JAX-RS Specification API, Liferay Apio Architect API, }
Name: Liferay Portal Model Relationship Document Library Implementation (2) {OSGi System Bundle, Liferay Portal Relationship API, }
Name: Liferay Asset Display Web (2) {OSGi System Bundle, Liferay Portal Upgrade API, }
Name: Liferay Analytics Data Binding Implementation (2) {OSGi System Bundle, Liferay Analytics API, }
Name: Liferay Portal Security Audit Event Generators User Management (2) {OSGi System Bundle, Liferay Portal Security Audit Event Generators API, }
Name: Liferay Portal Security SSO OpenSSO API (2) {OSGi System Bundle, Liferay Portal Configuration Metatype API, }
Name: Liferay Commerce Tax API (2) {OSGi System Bundle, Liferay Commerce Tax API, }
Name: Liferay Portal Spring Extender Implementation (2) {OSGi System Bundle, Liferay Portal Spring Extender API, }
Name: Liferay Adaptive Media Blogs Item Selector Web (2) {Liferay Item Selector API, Liferay Adaptive Media Image Item Selector API, }
Name: Liferay Dynamic Data Mapping Form Evaluator Implementation (2) {OSGi System Bundle, Liferay Dynamic Data Mapping API, }
Name: Liferay Frontend Theme Contributor Extender (2) {OSGi System Bundle, Liferay OSGi Utilities, }
Name: Liferay Commerce Elasticsearch6 (2) {OSGi System Bundle, Liferay Portal Search Elasticsearch 6 API, }
Name: Liferay Journal Ratings Definition (2) {OSGi System Bundle, Liferay Journal API, }
Name: Liferay Adaptive Media Upload (2) {OSGi System Bundle, Liferay Upload API, }
Name: Liferay Dynamic Data Mapping Type Radio (2) {OSGi System Bundle, Liferay Dynamic Data Mapping API, }
Name: Liferay Dynamic Data Mapping Type Select (2) {OSGi System Bundle, Liferay Dynamic Data Mapping API, }
Name: Liferay Portal Inactive Request Handler (2) {OSGi System Bundle, Liferay Portal Configuration Metatype API, }
Name: Liferay Portal Store DB (2) {OSGi System Bundle, Liferay Document Library Content API, }
Name: Liferay Login Authentication OpenID Connect Web (2) {OSGi System Bundle, Liferay Portal Security SSO OpenID Connect API, }
Name: Liferay Frontend Image Editor Integration Document Library (2) {OSGi System Bundle, Liferay Document Library API, }
Name: Liferay HTML Preview Processor Image (2) {OSGi System Bundle, Liferay HTML Preview API, }
Name: Liferay Document Library UAD (2) {OSGi System Bundle, Liferay User Associated Data API, }
Name: Liferay Asset Publisher Layout Prototype (2) {OSGi System Bundle, Liferay Portal Upgrade API, }
Name: Liferay Login Authentication OpenID Web (2) {OSGi System Bundle, Liferay Portal Security SSO OpenID API, }
Name: Liferay Portlet Dependency Factory Implementation (2) {OSGi System Bundle, Liferay Portal URL Builder API, }
Name: Liferay Weather Web (2) {OSGi System Bundle, Liferay Portal Upgrade API, }
Name: org.osgi.service.http (2) {OSGi System Bundle, org.osgi.service.http, }
Name: Liferay Social Activities Taglib (2) {OSGi System Bundle, Liferay Util Taglib, }
Name: Liferay Layout Page Template API (2) {OSGi System Bundle, Liferay Layout Page Template API, }
Name: Liferay Dynamic Data Mapping Type Text (2) {OSGi System Bundle, Liferay Dynamic Data Mapping API, }
Name: Liferay Expando Taglib (2) {OSGi System Bundle, Liferay Util Taglib, }
Name: Liferay Portal Relationship Implementation (2) {OSGi System Bundle, Liferay Portal Relationship API, }
Name: Liferay Site Navigation API (2) {OSGi System Bundle, Liferay Site Navigation API, }
